hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
"Hotel New Frontier, City Centre - 2 Mins from OLD Delhi Railway Station & Chandni Chowk","Chandni Chowk, New Delhi (Chandni Chowk)","26,673","35,096",Good,7.0,70,The Family Room,2 double beds,Breakfast included,Free parking,No Metro,Free cancellation,2.9 km from centre,"1,334"
AmigosIndia,"Chattarpur, New Delhi","36,294","36,294",Fabulous,8.6,709,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Breakfast included,Free parking,No Metro,,15 km from centre,"1,815"
Super Townhouse Dilshad Garden Near Dilshad Garden Metro Station,New Delhi,"8,830","14,016",Review score,3.3,10,Classic Triple Room,1 large double bed,,,No Metro,Free cancellation,11.5 km from centre,747
FabHotel Roseman,New Delhi,"15,081","32,088",Review score,6.2,61,Deluxe Room,1 large double bed,,,No Metro,No prepayment needed – pay at the property,11.3 km from centre,754
Hotel The Caves New delhi,"Chanakyapuri, New Delhi","9,910","28,315",Good,7.8,53,Family Room,"2 beds (1 single, 1 extra-large double) • Free cot always available",Breakfast included,Airport shuttle (free),No Metro,Free cancellation,6.5 km from centre,496
Le continental,"Paharganj, New Delhi (Chandni Chowk)","10,960","10,960",Very good,8.4,27,Deluxe Family Room,"2 beds (1 single, 1 large double)",,,No Metro,Free cancellation,1.7 km from centre,548
Hotel Star Moon Provided by Euro Group,"Paharganj, New Delhi (Chandni Chowk)","9,297","18,594",Good,7.7,29,King Room with Two King Beds,2 extra-large double beds,,,No Metro,No prepayment needed – pay at the property,1 km from centre,465
Best Western Darbar,"Paharganj, New Delhi (Chandni Chowk)","52,200","52,200",Very good,8.1,46,Deluxe King Room - Non-Smoking,1 extra-large double bed,,,No Metro,No prepayment needed – pay at the property,1.7 km from centre,"9,396"
Hotel Baba Deluxe near New Delhi Railway Station and City Center -By RCG Hotels,"Paharganj, New Delhi (Chandni Chowk)","17,222","26,910",Very good,8.4,"2,291",Classic Triple Room,"2 beds (1 single, 1 extra-large double)",,Free parking,No Metro,Free cancellation,1.3 km from centre,861
Hotel the haveliya-1 mint from new delhi railway station & connaught place,"Paharganj, New Delhi (Chandni Chowk)","10,153","10,153",Good,7.8,103,Deluxe Double Room,1 extra-large double bed,,Airport shuttle (free),No Metro,Free cancellation,0.8 km from centre,508
Hotel Preet Palace -5 Mints Walk From Nizamuddin Railway Station,New Delhi,"21,780","39,600",Good,7.5,563,Executive Triple Room,"3 beds (2 doubles, 1 futon)",,Free parking,No Metro,Free cancellation,6.5 km from centre,"1,089"
