hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
HOTEL GEESON INTERNATIONAL-New Delhi Railway Station-Paharganj,"Paharganj, New Delhi (Chandni Chowk)",29400,29400,Review score,6.8,485,Deluxe Triple Room,2 extra-large double beds,N/A,Hot tub/Jacuzzi,No Metro,Free cancellation,N/A,1470
Star view by Hotel Black moon'couple friendly Near Rk ashram Metro,"Paharganj, New Delhi (Chandni Chowk)",24660,24660,Review score,6.6,8,Deluxe Studio,2 entire studios • 2 bathrooms2 single beds,N/A,Free parking,Metro access,Free cancellation,N/A,1233
Hotel Heritage Home -3 Mins Walk from Metro And 5 Mins from Rail Station,"Paharganj, New Delhi (Chandni Chowk)",12192,24882,Good,7.0,237,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,Metro access,Free cancellation,N/A,610
Hotel The Metropolis Tourist Near Connaught Place And Ramakrishna Ashram Marg Metro Station,"Paharganj, New Delhi (Chandni Chowk)",22236,27795,Very good,8.4,218,Triple Room,"2 beds (1 double, 1 sofa bed)",N/A,N/A,Metro access,Free cancellation,N/A,1112
Cottage Yes Sir Dx,"Paharganj, New Delhi (Chandni Chowk)",13010,22050,Review score,6.2,12,Triple Room,"2 beds (1 double, 1 sofa bed)",N/A,N/A,No Metro,N/A,N/A,650
Hotel Superb 5 Mins Walk From New Delhi Station,"Paharganj, New Delhi (Chandni Chowk)",17499,87494,Good,7.7,119,Family Room,2 double beds,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,875
"Hotel Tara Palace, Chandni Chowk","Central Delhi, New Delhi (Chandni Chowk)",40489,40489,Good,7.1,168,Deluxe Double Room,Beds: 1 double or 2 singles,N/A,N/A,Metro access,N/A,N/A,2024
Hotel Glitz - Walk in from New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",15222,22720,Very good,8.2,739,Classic Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,761
"Hotel Sterling Inn, New Delhi","Paharganj, New Delhi (Chandni Chowk)",9900,9900,Good,7.7,250,Superior Family Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,495
Hotel The Paradise In - Near Karol Bagh Metro Station,"Karol bagh, New Delhi",32076,58320,Good,7.9,135,Deluxe Double Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,1604
The Gold Inn - Paharganj,"Paharganj, New Delhi (Chandni Chowk)",26760,44600,Very good,8.2,110,Deluxe Room,"4 beds (2 singles, 2 doubles)",N/A,N/A,No Metro,Free cancellation,N/A,1338
