hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
OPO Essential RODALI,"Karol bagh, New Delhi",62694,104490,Good,7.7,36,Double Room,2 double beds,N/A,Free parking,Metro access,N/A,N/A,3135
The Harikanta Residency,"Central Delhi, New Delhi",15960,22800,Review score,4.0,2,Deluxe Room,2 double beds,N/A,Free parking,No Metro,Free cancellation,N/A,798
Hotel Cabana 5 Mins Walking Distance From NDLS Station,"Paharganj, New Delhi (Chandni Chowk)",20096,26795,Fabulous,8.8,10,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,Metro access,Free cancellation,N/A,1005
Hotel Grand Park Inn,"Karol bagh, New Delhi",32657,32657,Review score,6.9,111,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,Metro access,N/A,N/A,1903
All Time Residency Luxe Collection,"Paharganj, New Delhi (Chandni Chowk)",28997,57994,Fabulous,8.7,125,Studio Luxe With City View,Entire studio • 1 bathroom • 18 m²1 extra-large double bed,N/A,Free parking,Metro access,N/A,N/A,1450
HOTEL SINGH CONTINETAL,"Karol bagh, New Delhi",32775,67438,Very good,8.1,287,Executive Triple Room,"2 beds (1 single, 1 extra-large double)",N/A,Free parking,Metro access,N/A,N/A,1639
Hotel Swastik place 2 min Walk From New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",11692,33405,Review score,6.4,24,Family Room,2 extra-large double beds,N/A,N/A,No Metro,Free cancellation,N/A,585
Hotel Sunrise DX,"Paharganj, New Delhi (Chandni Chowk)",12688,23940,Review score,4.0,4,Double Room,1 extra-large double bed,N/A,N/A,No Metro,N/A,N/A,634
Hotel Neelam Palace Just 5 Minutes from Railway Station & Connaught place,"Paharganj, New Delhi (Chandni Chowk)",196000,196000,Review score,1.0,1,Deluxe Room,2 double beds,N/A,N/A,No Metro,N/A,N/A,35280
"Hotel Shree Sai Dham Near New Delhi Railway Station, Paharganj","Paharganj, New Delhi (Chandni Chowk)",13685,28158,Very good,8.2,22,Deluxe Double Room,2 double beds,N/A,Free parking,No Metro,N/A,N/A,684
HILIFE Inn,"Paharganj, New Delhi (Chandni Chowk)",28704,35880,Review score,6.8,12,Deluxe Double Room,2 extra-large double beds,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,1435
Hotel WK Comfort - Near White Clove,"Paharganj, New Delhi (Chandni Chowk)",54000,54000,Good,7.9,20,Queen Room,2 double beds,N/A,N/A,Metro access,Free cancellation,N/A,2700
Hotel Raj Deluxe,"Paharganj, New Delhi (Chandni Chowk)",10800,10800,Review score,5.0,3,Quadruple Room with Balcony,2 double beds,N/A,N/A,No Metro,Free cancellation,N/A,540
Hotel Mid Town,"Karol bagh, New Delhi",14175,31500,Review score,1.0,1,Deluxe Triple Room,"2 beds (1 double, 1 futon)",N/A,N/A,Metro access,Free cancellation,N/A,709
HOTEL ROYAL AFGHAN,"Dariyaganj, New Delhi (Chandni Chowk)",25200,42000,Review score,4.2,27,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,1260
Hotel Geetanjali Inn,"Paharganj, New Delhi (Chandni Chowk)",14553,34650,N/A,0.0,0,Deluxe Single Room,1 single bed,N/A,N/A,No Metro,Free cancellation,N/A,728
Hotel Ruhi Dx,"Paharganj, New Delhi (Chandni Chowk)",18360,18360,Very good,8.3,3,Deluxe Double Room (2 Adults + 1 Child),2 double beds,N/A,N/A,Metro access,Free cancellation,N/A,918
Wood Castle,"Karol bagh, New Delhi",55000,55000,Superb,9.1,156,Super Deluxe Double Room,2 extra-large double beds,N/A,Free parking,Metro access,N/A,N/A,2750
HOTEL HRD - NEW Delhi Railway Station - Couple Friendly Local IDs Accepted,"Paharganj, New Delhi (Chandni Chowk)",5885,15090,Review score,5.4,56,Triple Room,"2 beds (1 single, 1 double)",N/A,Free parking,No Metro,Free cancellation,N/A,1164
HOTEL MSRegency,"Karol bagh, New Delhi",44700,44700,N/A,0.0,0,Family Room with Garden View,2 double beds,N/A,N/A,Metro access,Free cancellation,N/A,2235
Hotel Klick International 2 Min Walk From New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",21700,43400,Review score,4.9,18,Superior Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,1085
Hotel O Delhi Empire,"Central Delhi, New Delhi (Chandni Chowk)",6628,10520,Review score,1.5,4,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,637
Hotel Majors Den,"Paharganj, New Delhi (Chandni Chowk)",7110,11850,Very good,8.4,61,Standard Double Room with Fan,1 large double bed,N/A,Free parking,Metro access,N/A,N/A,356
Shree Guru Guest House 3 Minute Walking Distance From New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",7241,20688,Good,7.0,3,Deluxe Triple Room,"2 beds (1 double, 1 sofa bed)",N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,362
Hotel Delhi Regency - Walking Distance From New Delhi Railway Station And Connaught Place,"Paharganj, New Delhi (Chandni Chowk)",11688,19481,Very good,8.2,5,Double Room,2 double beds,N/A,N/A,No Metro,Free cancellation,N/A,584
Hotel Hill Palace -Near Karol Bagh Metro Station,"Karol bagh, New Delhi",24300,48600,Review score,5.8,19,Deluxe Room,Choice of beds: extra-large double or singles,N/A,Free parking,Metro access,Free cancellation,N/A,1215
Hotel Florence,"Karol bagh, New Delhi",33320,33320,Review score,6.6,5,Premier Double or Twin Room,Beds: 1 double or 2 singles • Free cot always available,N/A,N/A,No Metro,N/A,N/A,1666
Hotel Roma Villa,"Paharganj, New Delhi (Chandni Chowk)",9240,13200,Review score,6.0,59,Classic Triple Room,"2 beds (1 double, 1 extra-large double)",N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,462
"Hotel Mehul International -Near New Delhi Railway Station, Paharganj & Connaught Place","Paharganj, New Delhi (Chandni Chowk)",41577,75595,Very good,8.4,258,Boutique Room,Entire studio • 1 bathroom • 20 m²1 double bed • Free cot always available,N/A,Airport shuttle (free),No Metro,No prepayment needed – pay at the property,N/A,2079
Hotel Prince Palace Deluxe - New Delhi,"Paharganj, New Delhi (Chandni Chowk)",14685,24475,Superb,9.0,39,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,Metro access,N/A,N/A,734
Hotel Dollar Inn,"Paharganj, New Delhi (Chandni Chowk)",10796,17994,Review score,6.7,57,Basic Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,540
Hotel Good Palace Karol Bagh,"Karol bagh, New Delhi",20280,31200,Very good,8.2,49,Double Room,1 double bed,N/A,Free parking,Metro access,N/A,N/A,1014
Family Hotel - Paharganj Guest - PG,"Paharganj, New Delhi (Chandni Chowk)",6958,17394,Exceptional,10,3,Comfort Triple Room,"2 beds (1 single, 1 extra-large double)",N/A,N/A,No Metro,Free cancellation,N/A,348
Hotel Sai Miracle - Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",29510,45400,Very good,8.5,154,Luxury Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,Metro access,Free cancellation,N/A,1475
"Hotel City Empire New Delhi Railway Station, Connaught Place - Free Airport Pickup","Paharganj, New Delhi (Chandni Chowk)",27000,54000,Very good,8.0,344,Superior Triple Room,"2 beds (1 single, 1 large double)",N/A,Airport shuttle (free),No Metro,Free cancellation,N/A,1350
FM Hotels - Karol Bagh,"Karol bagh, New Delhi",16200,16200,N/A,0.0,0,Deluxe Double Room,2 double beds,N/A,Free parking,Metro access,Free cancellation,N/A,810
Hotel Ratandeep at Paharganj,"Paharganj, New Delhi (Chandni Chowk)",42140,60200,Review score,6.4,33,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,2107
AB Hotel - Amar International by AB Group - Local ID not accepted,"Paharganj, New Delhi (Chandni Chowk)",11389,19980,Fabulous,8.6,24,Standard Double or Twin Room,2 double beds,N/A,N/A,No Metro,Free cancellation,N/A,569
A One Hostel,"Paharganj, New Delhi (Chandni Chowk)",10800,10800,Review score,6.3,4,Single Bed in Mixed Dormitory Room,3 beds in dormitories3 single beds,N/A,N/A,No Metro,Free cancellation,N/A,540
Hotel Chowdhry-New Delhi Railway Station-2 minutes walk,"Paharganj, New Delhi (Chandni Chowk)",13464,16830,Review score,6.3,110,Deluxe Single Room,1 single bed,N/A,N/A,No Metro,Free cancellation,N/A,673
Super Hotel O 83167 Golden Key Inn,"Central Delhi, New Delhi",6400,13062,Review score,1.9,16,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,N/A,N/A,626
Super Hotel O Grand Peepal,"Karol bagh, New Delhi",9395,14913,Review score,2.4,27,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,674
hotel R Dx Arakashan Road - Near New Delhi Railway Dtation,"Paharganj, New Delhi (Chandni Chowk)",13000,13000,Review score,5.5,2,Triple Room,"2 beds (1 single, 1 double)",N/A,Free parking,No Metro,Free cancellation,N/A,650
The C Park Inn Karol Bagh Homely Atmosphere,"Karol bagh, New Delhi",17388,26345,Good,7.3,185,Family Room,2 large double beds,N/A,N/A,Metro access,N/A,N/A,869
NEW RANOVATED Hotel Station View Opposite New Delhi Railway,"Paharganj, New Delhi (Chandni Chowk)",28752,28752,Good,7.0,49,Classic Triple Room,2 extra-large double beds,N/A,Free parking,Metro access,Free cancellation,N/A,1438
The Hotel Mohit -5 Minutes Walk From New Delhi Railway Station - Paharganj,"Paharganj, New Delhi (Chandni Chowk)",11486,28016,Good,7.6,445,Super Deluxe Room - Complimentary HI-Tea in the evening,"2 beds (1 extra-large double, 1 futon)",N/A,Free parking,No Metro,Free cancellation,N/A,574
Hotel Dreamland Dx-5 Mints walk From New Delhi Railways Station,"Paharganj, New Delhi (Chandni Chowk)",8360,22000,Review score,5.4,60,Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,N/A,N/A,418
Hotel Woodland Deluxe,"Paharganj, New Delhi (Chandni Chowk)",12636,14040,Review score,6.0,8,Standard Double Room with Fan,2 double beds,N/A,Free parking,No Metro,N/A,N/A,632
Hotel Laffaire by Welcome Palace,"Karol bagh, New Delhi",35970,35970,Review score,5.0,1,Superior King Room,1 extra-large double bed,Breakfast included,Free parking,Metro access,Free cancellation,N/A,1799
Hotel Kabir palace,"Paharganj, New Delhi (Chandni Chowk)",10203,10203,Review score,5.0,1,Double Room,2 double beds,N/A,N/A,No Metro,Free cancellation,N/A,510
Hotel Pooja Palace,"Karol bagh, New Delhi",31200,31200,Good,7.8,64,Deluxe Double Room,Choice of beds: double or singles,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,1560
Townhouse Arakashan Road Paharganj Formerly Mohan international,"Paharganj, New Delhi (Chandni Chowk)",12158,19298,Review score,6.8,56,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,613
Hotel Sona Deluxe Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",36000,60000,N/A,0.0,0,Deluxe Double Room,2 double beds,N/A,Free parking,No Metro,Free cancellation,N/A,1800
Hotel A-10 International,"Paharganj, New Delhi (Chandni Chowk)",22680,37800,Good,7.0,3,Budget Double Room,1 extra-large double bed,N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,1134
HOTEL DARPAN PALACE -New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",13608,13608,Review score,6.3,66,Standard Double Room,2 single beds,N/A,N/A,No Metro,N/A,N/A,680
Hotel Taj Princess - Boutique Hotel,"Karol bagh, New Delhi",27300,27300,Review score,4.3,20,Executive Double Room,1 double bed,N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,1365
Treebo Royal Comfort,"Karol bagh, New Delhi",23005,54774,Review score,6.8,41,Deluxe Double Room,1 extra-large double bed,Breakfast included,Free parking,Metro access,No prepayment needed – pay at the property,N/A,1150
Hotel Emporio Dx - New Delhi Railway Station - Paharganj,"Paharganj, New Delhi (Chandni Chowk)",14426,29441,Very good,8.2,906,Super Deluxe Double Room,"2 beds (1 extra-large double, 1 futon) • Cot always available",N/A,Free parking,No Metro,Free cancellation,N/A,721
Family Hotel Shree Sai Dham,"Paharganj, New Delhi (Chandni Chowk)",9600,9600,Very good,8.1,19,Superior Triple Room,"2 beds (1 single, 1 large double)",N/A,N/A,No Metro,Free cancellation,N/A,480
Hotel Grand Aavaas- Traveller's Choice Award Winner 2025,"Karol bagh, New Delhi",45360,75600,Superb,9.0,157,Deluxe Double Room,2 double beds,N/A,Free parking,Metro access,Free cancellation,N/A,2268
Hotel OThe Signature Stay Guest House,"North Delhi, New Delhi",7466,11851,Review score,1.0,2,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,679
Ram Palace,"Karol bagh, New Delhi",27720,46200,Review score,5.0,1,Standard Double Room,1 double bed,N/A,Free parking,Metro access,Free cancellation,N/A,1386
Super Hotel O Super Siddhartha Guest House,"East Delhi, New Delhi",6910,10968,Review score,2.9,31,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,575
Hotel Florence Legacy,"Paharganj, New Delhi (Chandni Chowk)",13437,22394,N/A,0.0,0,Standard Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,672
Hotel O Kiiza Stay House,"North Delhi, New Delhi",6160,9778,Review score,1.8,20,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,652
AB Sarthak Hotel- Near New Delhi Raliway Station Connaught place and VFS,"Paharganj, New Delhi (Chandni Chowk)",6974,13675,Good,7.4,30,Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,349
Hotel Ashoka Continental Near New Delhi Railway station,"Paharganj, New Delhi (Chandni Chowk)",11067,22135,N/A,0.0,0,Triple Room,"2 beds (1 single, 1 extra-large double)",N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,553
Apple Villa - Behind Chabad House - Paharganj - New Delhi,"Paharganj, New Delhi (Chandni Chowk)",18897,41994,Good,7.2,5,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,Metro access,Free cancellation,N/A,945
Hotel O by OYO Sagar Palace,"Paharganj, New Delhi (Chandni Chowk)",5560,8826,N/A,0.0,0,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,584
Collection O Paharganj,"Paharganj, New Delhi (Chandni Chowk)",8811,13985,Review score,5.0,1,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,747
Hotel Arihant Inn,"Karol bagh, New Delhi",28502,47504,Exceptional,10,1,Triple Room,"2 beds (1 single, 1 large double)",N/A,N/A,No Metro,N/A,N/A,1425
Just Renovated - Del Fox Hotel New Delhi - Just a Minute Away From New Delhi Railway Station and Connaught Place,"Paharganj, New Delhi (Chandni Chowk)",12092,15115,Review score,6.3,186,Luxury Triple Room,2 single beds,N/A,Free parking,No Metro,Free cancellation,N/A,605
Hotel Nirmal Mahal - Paharganj - New Delhi,"Paharganj, New Delhi (Chandni Chowk)",14847,26995,Very good,8.3,30,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,N/A,N/A,742
Hotel Shivans,"Paharganj, New Delhi (Chandni Chowk)",10290,34300,Review score,1.0,1,Standard Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,515
Super Hotel O Hare rama guest house,"Paharganj, New Delhi (Chandni Chowk)",6777,10757,Review score,3.0,1,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,568
Hotel O Aura Palace Deluxe,"Paharganj, New Delhi (Chandni Chowk)",5711,9066,Review score,3.1,21,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,668
"HOTEL RAMA INN, New Delhi Station","Paharganj, New Delhi (Chandni Chowk)",18713,29238,Good,7.0,2,Deluxe Double Room (2 Adults + 1 Child),2 double beds,N/A,Free parking,No Metro,Free cancellation,N/A,936
Saffron Inn-Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",12338,30093,N/A,0.0,0,Standard Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,617
Hotel SHIMLA HERITAGE- Near B L K Hospital,"Karol bagh, New Delhi",29588,29588,Review score,4.7,20,Deluxe Double Room,2 extra-large double beds,N/A,Free parking,Metro access,Free cancellation,N/A,1479
Comfort Stay Hostel,"Paharganj, New Delhi (Chandni Chowk)",9920,9920,Review score,5.1,187,Bed in 10-Bed Mixed Dormitory Room,3 beds in dormitories3 bunk beds,N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,496
Hotel O Crown deluxe,"Karol bagh, New Delhi",8266,13121,Review score,2.4,5,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,617
Hotel Classic Inn Near Gaffar Market,"Karol bagh, New Delhi",29520,29520,Good,7.1,30,Deluxe Double Room,"2 beds (1 double, 1 large double)",N/A,N/A,Metro access,N/A,N/A,1476
Hotel Bright,"Connaught Place, New Delhi",83502,119288,Good,7.7,129,Deluxe Twin Room,4 single beds,N/A,N/A,Metro access,N/A,N/A,4175
Treebo Paras International,"Karol bagh, New Delhi",27363,67562,Good,7.7,274,Superior Double Room,2 single beds,Breakfast included,N/A,Metro access,No prepayment needed – pay at the property,N/A,1368
Stay nearby Lutyen's Delhi just 15min from Connaught Place,"Connaught Place, New Delhi",26113,29014,Good,7.1,44,Double Room with Private Bathroom,1 double bed,N/A,Free parking,Metro access,N/A,N/A,1306
Urban Inn,"Central Delhi, New Delhi",15210,15210,N/A,0.0,0,Double Room,2 double beds,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,761
JEYAN INN BY Golden Tree,"Karol bagh, New Delhi",70110,70110,Fabulous,8.9,103,Superior Double Room,2 single beds,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,3506
Hotel Diamond,"Paharganj, New Delhi (Chandni Chowk)",6840,6840,Review score,4.6,34,Deluxe Double Room,1 single bed,N/A,Free parking,No Metro,N/A,N/A,342
Hotel O Paharganj Near Railway Station Formerly Chand Palace,"Paharganj, New Delhi (Chandni Chowk)",10239,16252,Review score,5.4,110,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,517
The Sleepover Inn - Newly Built Boutique Stay Near Connaught Palace,"Paharganj, New Delhi (Chandni Chowk)",28500,57000,Fabulous,8.9,9,Double Room,2 large double beds,N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,1425
Hotel Kaca Inn-Near Connaught Place and New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",58315,64795,Very good,8.1,670,Family Suite with free airport pickup,2 double beds,N/A,Free parking,No Metro,N/A,N/A,10497
Hotel Wall City 55,"Paharganj, New Delhi (Chandni Chowk)",19107,29396,Very good,8.1,97,Deluxe Triple Room,"2 beds (1 single, 1 extra-large double)",N/A,Free parking,Metro access,Free cancellation,N/A,955
Hotel Re Pose Villa Walking Distance From New Delhi Railway Station and R K Ashram Metro Station,"Paharganj, New Delhi (Chandni Chowk)",11755,25555,Very good,8.5,222,Deluxe Triple Room,"2 beds (1 single, 1 large double)",N/A,Free parking,No Metro,Free cancellation,N/A,588
Awasthi Kozi Stays B&B - closest to VFS,"Connaught Place, New Delhi",78000,78000,Good,7.6,241,Deluxe Queen Room,2 double beds,Breakfast included,N/A,Metro access,N/A,N/A,3900
"GoBravo Nova Paharganj, New Delhi","Paharganj, New Delhi (Chandni Chowk)",14400,18000,N/A,0.0,0,Deluxe Double Room,2 double beds,N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,720
The Corus Hotel,"Connaught Place, New Delhi",84920,154400,Review score,4.7,100,Elite Room,2 double beds,N/A,Bar,Metro access,N/A,N/A,4246
Hotel The Daanish Residency - Karol Bagh,"Karol bagh, New Delhi",34484,34484,Good,7.7,118,Premium Double Room,1 extra-large double bed,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,1724
Wall Street Hotel,"Dariyaganj, New Delhi (Chandni Chowk)",23840,23840,Exceptional,10,1,Deluxe Double Room,Multiple bed types,N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,1192
Hotel Kabir Palace Karol Bagh,"Karol bagh, New Delhi",24835,24835,Fabulous,8.8,197,Comfort Triple Room,"2 beds (1 single, 1 double)",N/A,Hot tub/Jacuzzi,Metro access,Free cancellation,N/A,1242
Hotel Star Near railway station,"Paharganj, New Delhi (Chandni Chowk)",19641,23107,Very good,8.2,5,Deluxe Double Room,2 single beds,N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,982
Hotel O by OYO Hotel Thanks God Inn,"Paharganj, New Delhi (Chandni Chowk)",7910,12555,Review score,1.0,1,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,701
Via De Gold,"Karol bagh, New Delhi",16288,34655,Review score,6.0,188,Superior Double Room,1 double bed,N/A,N/A,No Metro,N/A,N/A,1120
Hotel india Int new delhi,"Paharganj, New Delhi (Chandni Chowk)",20520,20520,N/A,0.0,0,Double Room,2 double beds,N/A,N/A,Metro access,Free cancellation,N/A,1026
Southern Regency,"Karol bagh, New Delhi",40828,40828,Review score,3.5,2,Deluxe Double Room,Choice of beds: large double or singles,N/A,N/A,Metro access,N/A,N/A,2041
"Urban Home Stay - Delhi, Paharganj","Paharganj, New Delhi (Chandni Chowk)",60000,60000,Review score,6.7,4,Classic Apartment,"2 entire apartments • 16 bedrooms • 10 living rooms • 4 bathrooms26 beds (16 doubles, 10 sofa beds)",N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,3000
Hotel Parth Palace,"Paharganj, New Delhi (Chandni Chowk)",8400,8400,N/A,0.0,0,Double Room,2 single beds,N/A,N/A,No Metro,Free cancellation,N/A,420
Hotel O J Joy,"Karol bagh, New Delhi",7120,11301,Review score,1.4,11,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,N/A,777
Hotel Shree Sai Dham,"Paharganj, New Delhi (Chandni Chowk)",12915,31500,N/A,0.0,0,Budget Triple Room,1 extra-large double bed,N/A,N/A,No Metro,Free cancellation,N/A,646
Hotel O Aarna Inn,"Paharganj, New Delhi (Chandni Chowk)",11587,11587,Good,7.0,2,Classic Triple Room,1 large double bed,N/A,N/A,Metro access,Free cancellation,N/A,1000
Hotel Leo Continental,"Paharganj, New Delhi (Chandni Chowk)",29880,42686,Review score,3.8,9,Standard Single Room,1 single bed,N/A,N/A,No Metro,Free cancellation,N/A,1494
Hotel Paras,"Karol bagh, New Delhi",32738,43650,Exceptional,9.7,7,Superior King Room,"2 beds (1 sofa bed, 1 large double)",Breakfast included,N/A,Metro access,No prepayment needed – pay at the property,N/A,1637
Hotel Maya Cottage,"Paharganj, New Delhi (Chandni Chowk)",20970,20970,N/A,0.0,0,Triple Room,1 double bed,N/A,N/A,No Metro,Free cancellation,N/A,1049
Hotel Anand Empire Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",25695,46718,Very good,8.5,70,Superior Triple Room,"2 beds (1 single, 1 large double)",Breakfast included,Free parking,Metro access,Free cancellation,N/A,1285
"Hotel Fortuner, Karol Bagh, New Delhi","Karol bagh, New Delhi",27720,50400,Review score,5.8,14,Family Suite,1 double bed,Breakfast included,Free parking,Metro access,Free cancellation,N/A,1386
Hotel RS international Couple Friendly,"Paharganj, New Delhi (Chandni Chowk)",9868,9868,N/A,0.0,0,Family Room,1 double bed,N/A,Hot tub/Jacuzzi,No Metro,Free cancellation,N/A,493
Hotel Bharat - Main Bazar,"Paharganj, New Delhi (Chandni Chowk)",9897,19794,N/A,0.0,0,King Room with Two King Beds,2 large double beds,N/A,N/A,No Metro,Free cancellation,N/A,495
Hotel Soni Deluxe Family Stay Paharganj,"Paharganj, New Delhi (Chandni Chowk)",9494,9494,Review score,5.5,2,Basic Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,475
Hotel Silver Palace,"Paharganj, New Delhi (Chandni Chowk)",9186,14581,Review score,2.6,13,Standard Double Room,2 large double beds,N/A,N/A,No Metro,Free cancellation,N/A,918
FabHotel Yug Villa,"Karol bagh, New Delhi",28618,55035,Good,7.3,21,Deluxe Room,2 double beds,N/A,N/A,No Metro,N/A,N/A,1431
THE BONLON INN-NEAR BLK HOSPITAL,"Karol bagh, New Delhi",30754,30754,Review score,4.8,70,Deluxe Double Room,2 extra-large double beds,Breakfast included,Free parking,Metro access,Free cancellation,N/A,1538
FabHotel India International,"Paharganj, New Delhi (Chandni Chowk)",19306,37128,Review score,3.7,6,Superior Double Room,1 extra-large double bed,N/A,N/A,Metro access,N/A,N/A,965
FabHotel Church View - 500m from New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",18219,38764,Review score,6.8,13,Superior Triple Room,1 double bed,N/A,N/A,No Metro,No prepayment needed – pay at the property,N/A,911
Hotel Yatri International,"Paharganj, New Delhi (Chandni Chowk)",8640,8640,Review score,6.2,69,Standard Triple Room,"2 beds (1 single, 1 double)",N/A,Free parking,No Metro,No prepayment needed – pay at the property,N/A,432
Hotel City -- Near New Delhi Railway Station and Walk in RK Ashram Metro Station,"Paharganj, New Delhi (Chandni Chowk)",8550,8550,Review score,2.0,3,Standard Double Room with Fan,1 large double bed,N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,428
J R International,"Paharganj, New Delhi (Chandni Chowk)",9690,9690,Review score,5.0,1,Deluxe Triple Room,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,485
Hotel De Cruise - New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",44388,44388,Review score,6.6,20,Superior Double Room,2 large double beds,N/A,Bar,Metro access,Free cancellation,N/A,2219
Hotel Star Palace - Near Karol Bagh Metro,"Karol bagh, New Delhi",24835,24835,Good,7.6,7,Family Room,2 double beds,N/A,Free parking,Metro access,Free cancellation,N/A,1242
Hotel Grace,"Karol bagh, New Delhi",19969,19969,Review score,5.5,65,Deluxe Double Room,2 extra-large double beds,N/A,N/A,No Metro,Free cancellation,N/A,998
Central Delhi Flat close to Rajiv Chowk and Airport Line Access,"Connaught Place, New Delhi",45000,45000,N/A,0.0,0,Two-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen3 beds (1 double, 1 sofa bed, 1 large double)",N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,2250
Hotel A10 International,"Paharganj, New Delhi (Chandni Chowk)",15114,25191,Good,7.6,26,Deluxe Room,2 double beds,N/A,N/A,No Metro,N/A,N/A,756
Urban ease homestay,"West Delhi, New Delhi",28188,28188,Exceptional 10,0.0,external,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom1 double bed,N/A,Free parking,Metro access,No prepayment needed – pay at the property,N/A,1409
The Metropolis Guest House Near RK Ashram Metro Station,"Paharganj, New Delhi (Chandni Chowk)",12260,20433,Review score,5.2,10,Double Room,1 extra-large double bed,N/A,Free parking,Metro access,N/A,N/A,613
Hotel Swagat Palace,"Karol bagh, New Delhi",23100,38500,N/A,0.0,0,Single Room,1 single bed,N/A,N/A,No Metro,Free cancellation,N/A,1155
Newly Built Hotel Ambience Just Near New Delhi Railway Station Paharganj & Connaught Place,"Paharganj, New Delhi (Chandni Chowk)",35994,35994,N/A,0.0,0,Luxury Triple Room,"2 beds (1 single, 1 extra-large double)",N/A,Swimming pool,Metro access,Free cancellation,N/A,1800
